source,target,source example,target example,source language,target language,source segment,url,comment
"stupefatto","amazed","Oggi come ieri tuttavia lavora con identico atteggiamento contemplativo e stupefatto.","Today, however, like yesterday, she works with the same contemplative, amazed attitude .","it","en","","","astonished, stunned"
"stupidaggine","nonsense","Non mi farò rispedire dentro per una stupidaggine.","I'm not getting sent back inside for some nonsense...","it","en","","","silly, stupidity"
"stupire","amaze","Può sorprendere e stupire, ma sarà sempre richiesto.","It can surprise and amaze, but it will always be in demand.","it","en","","",""
"subire","suffer","Non vorrei subire lo stesso destino.","I have no wish to suffer the same fate.","it","en","","","undergo, experience"
"subito dopo","immediately after","Preparati a vestirmi subito dopo il finale.","Be ready to dress me immediately after the finale.","it","en","","","right after, soon after"
"successiva","next","Vengono spediti via sulla navetta successiva.","They usually ship them out on the next shuttle.","it","en","","","subsequent, later"
"sudare","sweat","Tra cinque minuti inizieremo a sudare.","We're going to sweat in about five minutes.","it","en","","","perspire, work for"
"suggerimento","tip","Perché le do un piccolo suggerimento.","Because I'll give you a little tip.","it","en","","",""
"suscitare","arouse","Potrebbe suscitare i sospetti della mia cuoca","That might arouse my cook's suspicions.","it","en","","","elicit, raise"
"svanire","fade","I ricordi sono fatti per svanire.","Lenny, memories were meant to fade.","it","en","","",""
"svantaggio","disadvantage","Arrischiarci al crinale la notte andrebbe a nostro svantaggio.","To attempt the ridge at night would see us to disadvantage.","it","en","","",""
"svegliare","wake up","Allora devi svegliare un nuovo clone.","Well, then you have to wake up a new clone.","it","en","","",""
"svelare","reveal","Sogni e bisogni inducono a svelare potenzialità e obiettivi.","Dreams and desires lead us to reveal our potential and objectives.","it","en","","",""
"sviluppo","development","Probabilmente la causa è legata al secondo sviluppo.","It probably has something to do with the second development.","it","en","","","growth, developer"
"sviscerare","dissect","Il maltempo sembra quasi sviscerare ogni singola particella variopinta dell'atmosfera.","The bad weather seems almost dissect every single colorful particle of the atmosphere.","it","en","","",""
"svolgersi","take place","La sua consacrazione poteva solo svolgersi durante il giorno.","His consecration might take place only in the day-time.","it","en","","","unfold, be held"
"svolgersi in","take place in","Il processo deve svolgersi in una linea di produzione chiusa con cisterne e condutture.","The process must take place in a closed production line with tanks and pipelines.","it","en","","","be held in, be conducted in"
"svolta","turn","Andrebbero valutate le conseguenze internazionali di questa svolta.","The international consequences of such a turn of events should be considered.","it","en","","","turning point, breakthrough"
"svuotare","empty","Mandy, avresti dovuto svuotare la lavastoviglie.","Mandy, you were supposed to empty the dishwasher.","it","en","","","clear, drain"
"svuotato","emptied","L'assassino ha svuotato il caricatore.","The assassin emptied the whole lot into him.","it","en","","","cleaned out, cleared out"
"taccuino","notebook","Quando torno, voglio vedere quel taccuino.","When I get back, I want to see that notebook.","it","en","","","book, notepad"
"tachipirina","Tylenol","Mi hanno dato della tachipirina e della codeina.","They gave me Tylenol and codeine.","it","en","","https://classroom.italki.com/r/8111385678","acetaminophen, paracetamol"
"taglia","size","Questo sembra essere della sua taglia.","This one appears to be in your size.","it","en","","","bounty, price"
"talmente","so","È talmente ridicolo, talmente geloso.","He is so ridiculous, he is so jealous.","it","en","","","enough, such"
"talvolta","sometimes","Ma talvolta non potevo bere perché dovevo uccidere qualcuno.","But sometimes I couldn't go drinking 'cause I had to kill somebody.","it","en","","","occasionally, often"
"tanto di cappello","hats off","Chiunque sia stato... tanto di cappello.","Whoever did this, hats off.","it","en","tanto di cappello","https://classroom.italki.com/r/8114385678","tip of the hat, my hat's off"
"tanto quanto","as much as","Voglio svelare l'insabbiamento tanto quanto te.","I want to expose this cover-up as much as you.","it","en","","","as well as, just like"
"tanto spesso","so often","Ho pensato tanto spesso alla follia di mia madre.","I have wondered at it so often, my mother's madness.","it","en","","","very often, as often"
"tappa","stage","I concorrenti sprovvisti del materiale obbligatorio saranno esclusi dalla tappa.","The participant caught without the compulsory material will be excluded from the stage.","it","en","","",""
"tascabile","pocket","Leggero e maneggevole, ha raggiunto perfetta funzionalitá, comodamente tascabile.","Lightweight and easy to handle, has achieved perfect functionality, pocket comfortably.","it","en","","","pocket-sized, pocket-size"
"tassa di proprietà","property tax","Qualcuno paga ancora la tassa di proprietà.","Someone's still paying the property tax.","it","en","","","estate tax, ..."
"tenebroso","dark","Il tuo cuore è tenebroso, signorina.","You got a dark heart, little lady.","it","en","","",""
"tenere conto","take into account","Tali accordi dovevano tenere conto dei quattro aspetti seguenti.","These arrangements had to take into account the following four aspects.","it","en","","",""
"tenere viva","keep it alive","E lottare come un leone per tenere viva la scintilla.","Fight like a lion to keep it alive.","it","en","","",""
"tenerezza","tenderness","Provo molta... tenerezza per te.","I have a great feeling of... tenderness for you.","it","en","","","affection, fondness"
"tenero","tender","Ti piaccia i voti accogliere del tenero amor mio.","May I offer, and pray you accept, my vows of tender love.","it","en","","https://classroom.italki.com/r/4358326278","soft, sweet"
"tensione","voltage","La corrente deve essere misurata per ogni tensione.","For each voltage the current is to be measured respectively.","it","en","","","tension, stress"
"tentare","attempt","Non tentare di utilizzarlo per altri scopi.","Do not attempt to use it for other purposes.","it","en","","",""
"tentare","try","Se solo poteste tentare di capire...","If you could just try to understand it...","it","en","","","attempt, tempt"
"tentativo","attempt","Davvero quel vostro tentativo di uccidermi per refrigerazione mancava inventiva.","Really that attempt of yours to kill me by refrigeration lacked ingenuity.","it","en","","","effort, try"
"teppismo","hooliganism","Era un solito critico del nazionalismo, della corruzione e del teppismo nello sport.","He was a usual critic of nationalism, corruption and hooliganism in sport.","it","en","","https://classroom.italki.com/r/6514340088","thuggery, ..."
"tessera","card","Appena useremo questa tessera inizieranno a cercarci.","As soon as we use this card, they'll start looking for us.","it","en","","","tile, membership card"
"testa d'aglio","head of garlic","Salsa «mojo» piccante: 1 testa d'aglio.","Mojo picón sauce: 1 head of garlic.","it","en","","",""
"tetto","roof","Controlliamo l'altro lato del tetto.","We'll check the other side of the roof.","it","en","","","rooftop, ceiling"
"tieni conto che","keep in mind that","Tuttavia, tieni conto che non sono scientificamente provati e che potrebbero non funzionare.","However, keep in mind that these are not scientifically proven methods and might not work.","it","en","tieni conto che","https://classroom.italki.com/r/3645320968","please note that, take into account that"
"tifare","cheer","Io posso guardare, allenare e tifare.","I get to watch and coach and cheer.","it","en","","https://classroom.italki.com/r/1357326278","root for, ..."
"tirare in ballo","bring up","Odio tirare in ballo gli affari, ma...","I hate to bring up business, but...","it","en","","","involve, raise"
"tirare le tende","draw the curtains","Si suggerisce di tirare le tende quando il sole splende.","It is suggested to draw the curtains when the sun shines in.","it","en","tirare le tende","https://classroom.italki.com/r/7110385678","close the curtains, pull the curtains"
"tizio","guy","Credo fosse veramente innamorata di questo tizio.","I think she really did just fall in love with this guy.","it","en","","",""
"togliere","remove","E ricordati di togliere gli articoli dallo scaffale.","And be sure to remove the items from the shelf.","it","en","","","take away, take out"
"tollerare","tolerate","Non possono tollerare un omicidio nel loro albergo.","A murder in their hotel, it's something they can't tolerate.","it","en","","","bear, allow"
"tornare indietro","go back","Forse dovremmo tornare indietro e aiutarlo.","Maybe we should go back and help him.","it","en","","","turn back, come back"
"torpore","torpor","Sembra abbastanza matura da scuoterti dal tuo torpore.","She looks ripe enough to shake you out of your torpor.","it","en","","",""
"tostapane","toaster","Aveva tre elettrodomestici in cucina: tostapane, microonde e dearomatizzatore.","She had three appliances in the kitchen... a toaster, a microwave, and a de-flavorizer.","it","en","","",""
"traballante","shaky","Mi pare che il mio canino sia traballante.","I think my dogtooth is shaky.","it","en","","","wobbly, rickety"
